0,1,2
"m_dot_avg =,","kg/s,",0.037754458
"m_dot_max =,","kg/s,",0.2631807684108527
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.5
input 2,  des_en_input(1)           , 100
input 3,  kt_fac                    , 0.5
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,0.9959643998057477
V_max=,m/s,1.570900121936906
"m_dot_avg =,","kg/s,",0.038293866
"m_dot_max =,","kg/s,",0.32642604299999994
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.5
input 2,  des_en_input(1)           , 1000
input 3,  kt_fac                    , 0.5
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,0.9762493057619681
V_max=,m/s,1.7458696774326288
"m_dot_avg =,","kg/s,",0.037555426
"m_dot_max =,","kg/s,",0.280284880328
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.5
input 2,  des_en_input(1)           , 10000
input 3,  kt_fac                    , 0.5
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,0.9890542630941045
V_max=,m/s,1.571658310573692
"m_dot_avg =,","kg/s,",0.033567116
"m_dot_max =,","kg/s,",0.2683841875891473
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.5
input 2,  des_en_input(1)           , 100
input 3,  kt_fac                    , 0.9
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,0.9969213937188344
V_max=,m/s,1.5667692684449799
"m_dot_avg =,","kg/s,",0.033245608
"m_dot_max =,","kg/s,",0.2976263410431035
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.5
input 2,  des_en_input(1)           , 1000
input 3,  kt_fac                    , 0.9
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,0.9723466009357707
V_max=,m/s,1.8006410065582357
"m_dot_avg =,","kg/s,",0.038379682
"m_dot_max =,","kg/s,",0.27621932826400003
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.5
input 2,  des_en_input(1)           , 10000
input 3,  kt_fac                    , 0.9
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,0.9930622312342979
V_max=,m/s,1.5667000028068265
"m_dot_avg =,","kg/s,",0.035065114
"m_dot_max =,","kg/s,",0.2674623712615385
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.9
input 2,  des_en_input(1)           , 100
input 3,  kt_fac                    , 0.1
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,1.0104954876249084
V_max=,m/s,1.598187940597575
"m_dot_avg =,","kg/s,",0.039209149
"m_dot_max =,","kg/s,",0.3200553454444445
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.9
input 2,  des_en_input(1)           , 1000
input 3,  kt_fac                    , 0.1
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,0.9759639063019134
V_max=,m/s,1.4397218578834599
"m_dot_avg =,","kg/s,",0.039356906
"m_dot_max =,","kg/s,",0.2878515610826447
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.9
input 2,  des_en_input(1)           , 10000
input 3,  kt_fac                    , 0.1
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,0.9698014222566856
V_max=,m/s,1.6658104180776403
"m_dot_avg =,","kg/s,",0.039631804
"m_dot_max =,","kg/s,",0.2971353026982758
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.9
input 2,  des_en_input(1)           , 100
input 3,  kt_fac                    , 0.5
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,0.9788948990941256
V_max=,m/s,1.5331477818409414
"m_dot_avg =,","kg/s,",0.039315796
"m_dot_max =,","kg/s,",0.31467518564220176
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.9
input 2,  des_en_input(1)           , 1000
input 3,  kt_fac                    , 0.5
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,0.9716661495600027
V_max=,m/s,1.5975825211471484
